HSHD_NUM,HH_KEY,ACCOUNT_KEY,HEAD_OF_HH,CITY,STATE,ZIP_CODE,AGE_RANGE
3215,15196739,158979487,N,TOLEDO,OH,43605,45-54
4598,15814565,158979490,N,TOLEDO,OH,43612,NOT AVAILABLE
4285,77433022,158979722,N,HILLIARD,OH,43026,45-54
3335,78334102,158979551,N,MACOMB,MI,48042,65-74
4448,76566373,158979443,N,REYNOLDSBURG,OH,43068,35-44
2668,1070882,158979625,N,LAMBERTVILLE,MI,48144,55-64
1874,532831,158980181,N,HAMILTON,OH,45013,NOT AVAILABLE
2862,10790982,158980184,N,CINCINNATI,OH,45238,55-64
1967,77712795,158979568,N,KIMBALL,MI,48074,55-64
3703,72122656,159003664,N,LEBANON,OH,45036,35-44
3342,16342898,159003791,N,CINCINNATI,OH,45224,65-74
4040,77519903,159003709,N,CLEVES,OH,45002,55-64
2160,75476106,159006125,N,COLUMBUS,OH,43204,45-54
2080,17276024,159006136,N,COLUMBUS,OH,43220,NOT AVAILABLE
129,1958314,159006543,N,TEMPERANCE,MI,48182,35-44
916,7514904,159006799,N,FRANKFORT,KY,40601,55-64
4477,1658686,159006489,N,TOLEDO,OH,43614,55-64
455,74984560,159006705,N,NASHVILLE,TN,37206,NOT AVAILABLE
4360,6457883,159008280,N,BURLINGTON,KY,41005,NOT AVAILABLE
3401,841776,159010022,N,MIAMISBURG,OH,45342,NOT AVAILABLE
4535,9975362,159010079,N,FLETCHER,OH,45326,45-54
345,77156637,159010102,N,BELLBROOK,OH,45305,35-44
370,6429607,159009453,N,INGALLS,IN,46048,NOT AVAILABLE
297,77693748,159010013,N,DAYTON,OH,45404,55-64
2954,11119197,159010194,N,TROY,OH,45373,NOT AVAILABLE
2382,80326801,159010198,N,SPRINGFIELD,OH,45506,NOT AVAILABLE
2408,17501027,159002699,N,NICHOLASVILLE,KY,40356,55-64
275,4409682,159002703,N,DELAWARE,OH,43015,65-74
3403,3501566,159002348,N,SWARTZ CREEK,MI,48473,75+
488,849391,159002362,N,SIDNEY,OH,45365,75+
250,699858,159024384,N,CINCINNATI,OH,45224,55-64
2779,71896549,159024975,N,LOUISVILLE,KY,40205,NOT AVAILABLE
3933,76590051,159025679,N,SOUTH BEND,IN,46628,45-54
4701,15550903,159026848,N,MARYSVILLE,OH,43040,NOT AVAILABLE
2466,1289225,159027108,N,MAUMEE,OH,43537,55-64
1528,80317787,159027354,N,LEXINGTON,KY,40505,45-54
1278,18501982,159027400,N,GEORGETOWN,KY,40324,45-54
2600,8402397,159026743,N,WESTERVILLE,OH,43081,45-54
2271,796507,159028525,N,EDGEWOOD,KY,41017,45-54
1277,77224137,159028164,N,WOODSTOCK,GA,30188,35-44
2909,73320508,159028698,N,GROSSE ILE,MI,48138,NOT AVAILABLE
4348,80241709,159028709,N,SALINE,MI,48176,35-44
344,74423863,159029577,N,SHELBYVILLE,IN,46176,45-54
1940,76713470,159029702,N,LAFAYETTE,IN,47905,35-44
974,1288415,159030168,N,MIAMISBURG,OH,45342,45-54
4179,17663977,159030265,N,TIPP CITY,OH,45371.0,45-54
4127,7319133,159030256,N,MASON,OH,45040,NOT AVAILABLE
3644,518444,159030339,N,FRANKLIN,OH,45005,55-64
2433,80240583,159023611,N,SHELBY TOWNSHIP,MI,48316,65-74
2055,80056861,159023930,N,FISHERS,IN,46037,25-34
3819,76993656,159023653,N,FRANKLIN,OH,45005,45-54
2314,849571,159023716,N,SIDNEY,OH,45365,NOT AVAILABLE
2516,169704,159024040,N,CINCINNATI,OH,45247,NOT AVAILABLE
935,54696,159024045,N,PROSPECT,KY,40059,75+
3928,77258716,159024127,N,WEST CHESTER,OH,45069,65-74
4339,17412893,159045327,N,MORROW,OH,45152,45-54
3222,595983,159045362,N,WEST CHESTER,OH,45069,55-64
2492,74903379,159045198,N,LOVELAND,OH,45140,NOT AVAILABLE
443,79758723,159045226,N,LEBANON,OH,45036,45-54
55,5526660,159047720,N,SPRING HILL,TN,37174,45-54
3626,73260092,159047813,N,MURFREESBORO,TN,37128,NOT AVAILABLE
4014,79969293,159048709,N,MARIETTA,GA,30067.0,35-44
1840,15301632,159047766,N,NASHVILLE,TN,37217,NOT AVAILABLE
3011,4386585,159049434,N,FLUSHING,MI,48433,45-54
3446,3192711,159050143,N,FORT WAYNE,IN,46835,65-74
4432,1247420,159050768,N,DAYTON,OH,45424.0,NOT AVAILABLE
4614,16381970,159050307,N,SHELBYVILLE,IN,46176,45-54
4225,80241360,159044104,N,POMEROY,OH,45769,NOT AVAILABLE
446,7098585,159044520,N,CINCINNATI,OH,45255,65-74
878,3447054,159044562,N,BROWNSTOWN,MI,48183,45-54
1228,80245198,159044592,N,COLUMBIA,TN,38401,45-54
3173,80337303,159044257,N,NASHVILLE,TN,37211,45-54
1494,74765954,159044696,N,MONROE,OH,45050,NOT AVAILABLE
2113,4896158,159044332,N,CINCINNATI,OH,45233,55-64
4439,6500382,159044719,N,MIDWAY,KY,40347,NOT AVAILABLE
1366,166635,159044738,N,PARK HILLS,KY,41011,75+
1435,75989269,159044745,N,FORT WAYNE,IN,46835,NOT AVAILABLE
1877,74682919,159044776,N,HARRODSBURG,KY,40330,65-74
26,16310894,159044778,N,WAYNESVILLE,OH,45068.0,65-74
3690,79165,159069480,N,LOUISVILLE,KY,40206,45-54
3436,9444127,159069508,N,LOUISVILLE,KY,40220,45-54
432,73031104,159069571,N,LOUISVILLE,KY,40214,45-54
406,72058419,159068786,N,HAMILTON,OH,45013,35-44
3935,77538869,159071533,N,COLUMBUS,OH,43227,45-54
3744,2187226,159071788,N,TOLEDO,OH,43623,55-64
1268,77367841,159067598,N,LOUISVILLE,KY,40241,75+
2248,80278569,159071973,N,HERMITAGE,TN,37076,35-44
295,11806423,159073911,N,LIVONIA,MI,48154,45-54
653,73548224,159074624,N,SCOTT DEPOT,WV,25560,45-54
199,73092681,159074659,N,LYNCHBURG,OH,45142,45-54
2037,77034290,159074774,N,MICHIGANTOWN,IN,46057,45-54
350,15660903,159075032,N,INGALLS,IN,46048,45-54
4276,15328257,159075657,N,FAIRBORN,OH,45324,45-54
2217,74076459,159067588,N,MASON,OH,45040,55-64
3111,80243640,159067381,N,FRANKLIN,TN,37069,45-54
74,80244371,159067575,N,ATLANTA,GA,30326,35-44
13,4898883,159067896,N,YELLOW SPRINGS,OH,45387,55-64
274,73543697,159067973,N,MELBOURNE,KY,41059,65-74
4653,7008356,159068108,N,LAMBERTVILLE,MI,48144,45-54
1831,15653593,159067991,N,CINCINNATI,OH,45212,35-44
2496,16025787,159067888,N,SPRINGBORO,OH,45066,35-44
1082,74633842,159068084,N,GREENWOOD,IN,46142,65-74
2259,16321039,159068168,N,ALEXANDRIA,KY,41001,35-44
3996,76272415,159090454,N,WHITEHALL,OH,43213,35-44
2543,75399666,159090733,N,LA VERGNE,TN,37086,45-54
797,2379355,159090550,N,TOLEDO,OH,43608,55-64
943,73081093,159090662,N,MADISON,TN,37115,25-34
4496,72110847,159090786,N,LAWRENCEBURG,KY,40342,NOT AVAILABLE
449,7044303,159091892,N,MOUNT ORAB,OH,45154,35-44
30,613088,159091880,N,LEESBURG,OH,45135,55-64
4509,74516157,159092058,N,INDIANAPOLIS,IN,46239,55-64
4507,7144427,159092223,N,HANSON,KY,42413,NOT AVAILABLE
